Feature Set,Feature Engineering Type,Meaning,,,,,,,,
FS1,TF-IDF Features Only,Uses word importance features only,,,,,,,,
FS2,TF-IDF + Linguistic Features,Uses word importance + writing style,,,,,,,,
FS3,TF-IDF + Emotional/Sentiment Features,Uses word importance + emotional tone,,,,,,,,
FS4,TF-IDF + Linguistic + Emotional Features,Uses full combined feature set,,,,,,,,
,,,,,,,,,,
,,,Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,,https://colab.research.google.com/drive/1kgGc_PNWi8_mbOqe5YoDp8GBXU3GFIgJ?usp=sharing 
,,,Support Vector Machine,0.9902,0.9921,0.9863,0.9892,0.9991,,
,,,Logistic Regression,0.9873,0.9918,0.9805,0.9861,0.9987,,
,,,Random Forest,0.9847,0.9934,0.9729,0.9831,0.9988,,
,,,XGBoost,0.9826,0.9881,0.9738,0.9809,0.9985,,
,,,Gradient Boosting,0.9794,0.9841,0.9707,0.9774,0.9975,,
,,,Decision Tree,0.9547,0.9526,0.9484,0.9505,0.9531,,
,,,Naive Bayes,0.9476,0.9435,0.9419,0.9427,0.9873,,
,,,K-Nearest Neighbour,0.5755,0.519,0.998,0.6829,0.6864,,
,,,,,,,,,,
,,,Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,,https://colab.research.google.com/drive/1Ae9oU2Y5ABJk3LfYvR--gpwvQUW7GNxo?usp=sharing 
,,,Support Vector Machine,0.9919,0.9927,0.9897,0.9912,0.9994,,
,,,Logistic Regression,0.9872,0.9896,0.9824,0.986,0.9988,,
,,,XGBoost,0.9872,0.9882,0.9838,0.986,0.9993,,
,,,Random Forest,0.9863,0.9915,0.9785,0.985,0.9992,,
,,,Gradient Boosting,0.9844,0.987,0.9788,0.9829,0.9986,,
,,,Decision Tree,0.9552,0.9511,0.9511,0.9511,0.9494,,
,,,Naive Bayes,0.9427,0.9434,0.9308,0.937,0.9842,,
,,,K-Nearest Neighbour,0.9027,0.9182,0.8646,0.8906,0.9447,,
,,,,,,,,,,
,,,Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,,
,,,Support Vector Machine,0.9905,0.9924,0.9869,0.9896,0.9991,,https://colab.research.google.com/drive/1pp8Ap8LCi5En_jRMRVCOrDzVcxna8Yxt?usp=sharing 
,,,Logistic Regression,0.9868,0.9907,0.9805,0.9855,0.9987,,
,,,Random Forest,0.9847,0.9937,0.9726,0.9831,0.9988,,
,,,XGBoost,0.983,0.987,0.9757,0.9813,0.9986,,
,,,Gradient Boosting,0.9804,0.985,0.9721,0.9785,0.9978,,
,,,Decision Tree,0.9542,0.9564,0.943,0.9497,0.9496,,
,,,Naive Bayes,0.9473,0.9467,0.9377,0.9422,0.9873,,
,,,K-Nearest Neighbour,0.8252,0.8473,0.7543,0.7981,0.8786,,
,,,,,,,,,,
,,,Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,,
,,,Support Vector Machine,0.9919,0.9927,0.9897,0.9912,0.9994,,https://colab.research.google.com/drive/1T8jxPKIxvsPss9gYeOGseERjs7PCuXRb?usp=sharing 
,,,XGBoost,0.9879,0.9882,0.9852,0.9867,0.9993,,
,,,Logistic Regression,0.9873,0.9893,0.983,0.9861,0.9988,,
,,,Random Forest,0.9856,0.9901,0.9782,0.9841,0.9992,,
,,,Gradient Boosting,0.9848,0.9854,0.9813,0.9834,0.9986,,
,,,Decision Tree,0.956,0.9507,0.9534,0.952,0.9499,,
,,,Naive Bayes,0.9435,0.944,0.9319,0.9379,0.9843,,
,,,K-Nearest Neighbour,0.8877,0.917,0.83,0.8713,0.9277,,
,,,,,,,,,,
,,,Final Comparison Table,,,,,,,
,,,Feature Set,Best model,Accuracy,Precision,Recall,F1-score,ROC-AUC,Key finding
,,,TF-IDF Only,SVM,0.9902,0.9921,0.9863,0.9892,0.9991,Baseline text representation
,,,TF-IDF + Linguistic,SVM,0.9919,0.9927,0.9897,0.9912,0.9994,Writing style adds +0.0020 F1; KNN improves most (+0.208)
,,,TF-IDF + Emotional,SVM,0.9905,0.9924,0.9869,0.9896,0.9991,Emotional tone adds marginal gain (+0.0004 F1)
,,,TF-IDF + Linguistic + Emotional,SVM,0.9919,0.9927,0.9897,0.9912,0.9994,Full hybrid = highest overall; XGBoost gains +0.0058 vs FS1
